id,name,reaction_count,associated_reactions
BSU36850,atpF,1,ATPS4r
BSU07840,yfkN,18,"23CN2P4, NTD9, NTD4, 3NUCLE4, NTD6, NTD3, 3NUCLE3, 23CN2P3, 3NUCLE2, 23CN2P2, 3NUCLE1, NTD8, 23CN2P1, NTD2, NTD10, NTD7, NTD1, NTD5"
BSU16730,spoVFA,1,26DPAi
BSU16740,spoVFB,1,26DPAi
BSU36830,atpA,1,ATPS4r
BSU36800,atpC,1,ATPS4r
BSU36820,atpG,1,ATPS4r
BSU36860,atpE,1,ATPS4r
BSU33310,fhuB,2,"FERXAabc, FERRICHabc"
BSU36870,atpB,1,ATPS4r
BSU36880,atpI,1,ATPS4r
BSU30820,menD,2,"OXGDC, 2S6HCCi"
BSU31060,gbsA,1,BETALDHx
BSU39260,bglH,3,"BG_MADG, BG_CELLB, BG_MBDG"
BSU06310,gabP,3,"3AMBAt2, BALAt2r, ABUTt2r"
BSU07490,yfmF,1,FERRICHabc
BSU19350,yocS,1,BILEt4
BSU39610,yxeB,1,FERXAabc
BSU38040,sacA,2,"RAFH, FFSD"
BSU39380,hutG,1,FGLU_1
BSU07830,nfsB,1,FLVR_1
BSU38110,nfrAA,2,"FLVR_1, FMNRy"
BSU02090,ybxI,1,BLACT
BSU03860,nfrAB,1,FLVR_1
BSU03040,amyE,1,AAMYL_1
BSU18800,penP,1,BLACT
BSU38560,licH,3,"AB6PGH, S6PG, BGLA1"
BSU06240,bdhA,1,BTDD_RR
BSU40110,bglA,3,"AB6PGH, S6PG, BGLA1"
BSU30200,bioB,1,BTS_1
BSU24070,buk,1,BUTKr
BSU03900,gabT,1,ABTA
BSU39860,aldX,27,"ALDD31_1, ALDD10, ALDD11, ALDD6, ALDD20x_1, ALDD13, ALDD2x, ALDD3, ALDD15, ALDD9, ALDD32, GLXO1, ALDD17, ABUTD, ALDD1, LCADi, ALDD12, GLYALDDr, ALDD5, ALDD18, ALDD8, ALDD14, GCALDD, ALDD4x, ALDD7, ALDD16, ALDD4"
