id,name,formula,compartment,charge
2aobut_c,L-2-Amino-3-oxobutanoate,C4H7NO3,c,
2cpr5p_c,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,C12H13NO9P,c,-3.0
2dda7p_c,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,C7H10O10P,c,-3.0
2ddg6p_c,2-Dehydro-3-deoxy-D-gluconate 6-phosphate,C6H8O9P,c,-3.0
2ddglcn_c,2-Dehydro-3-deoxy-D-gluconate,C6H9O6,c,-1.0
2ddglcn_e,2-Dehydro-3-deoxy-D-gluconate,C6H9O6,e,-1.0
2dhp_c,2-Dehydropantoate,C6H9O4,c,-1.0
2dmmq7_c,2 Demethylmenaquinone 7 C45H62O2,C45H62O2,c,
2dr1p_c,2-Deoxy-D-ribose 1-phosphate,C5H9O7P,c,-2.0
2dr5p_c,2-Deoxy-D-ribose 5-phosphate,C5H9O7P,c,-2.0
2h3k5m_c,2 hydroxy 3 keto 5 methylthiopentenyl 1 phosphate C6H8O6PS,C6H8O6PS,c,-3.0
2h3opp_c,2 Hydroxy 3 oxopropanoate C3H3O4,C3H3O4,c,-1.0
2hbut_c,2 Hydroxybutyrate C4H7O3,C4H7O3,c,-1.0
2hxmp_c,2  Hydroxymethyl phenol C7H8O2,C7H8O2,c,
2hxmp_e,2  Hydroxymethyl phenol C7H8O2,C7H8O2,e,
2ins_c,2-Inosose,C6H10O6,c,
2ippm_c,2-Isopropylmaleate,C7H8O4,c,-2.0
2kmb_c,2-keto-4-methylthiobutyrate,C5H7O3S,c,-1.0
4r5au_c,4-(1-D-Ribitylamino)-5-aminouracil,C9H16N4O6,c,
5aizc_c,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate,C9H11N3O9P,c,-3.0
10fthf_c,10-Formyltetrahydrofolate,C20H21N7O7,c,-2.0
2maacoa_c,2-Methyl-3-acetoacetyl-CoA,C26H38N7O18P3S,c,-4.0
5aop_c,5-Amino-4-oxopentanoate,C5H9NO3,c,
5aprbu_c,5-Amino-6-(5'-phosphoribitylamino)uracil,C9H15N4O9P,c,-2.0
5apru_c,5-Amino-6-(5'-phosphoribosylamino)uracil,C9H13N4O9P,c,-2.0
2mahmp_c,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate,C6H8N3O7P2,c,-3.0
12d3k5m_c,1 2 dihydroxy 3 keto 5 methylthiopentene C6H8O3S,C6H8O3S,c,-2.0
2mb2coa_c,Trans-2-Methylbut-2-enoyl-CoA,C26H38N7O17P3S,c,-4.0
12dag3p_BS_c,1 2 diacyl sn glycerol 3 phosphate C3436H6572O800P100,C3436H6572O800P100,c,-200.0
12dgr_BS_c,1 2 diacylglycerol C3436H6672O500,C3436H6672O500,c,
2mbcoa_c,2-Methylbutanoyl-CoA,C26H40N7O17P3S,c,-4.0
13dpg_c,3-Phospho-D-glyceroyl phosphate,C3H4O10P2,c,-4.0
14bxyl_c,1 4 beta D Xylan C5H8O4,C5H8O4,c,
5d4dglcr_c,5 Dehydro 4 deoxy D glucarate C6H6O7,C6H6O7,c,-2.0
5dh4dglcn_c,5 Dehydro 4 deoxy D glucuronate C6H7O6,C6H7O6,c,-1.0
2mcit_c,2-Methylcitrate,C7H7O7,c,-3.0
2me4p_c,2-C-methyl-D-erythritol 4-phosphate,C5H11O7P,c,-2.0
2mecdp_c,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate",C5H10O9P2,c,-2.0
2mp2coa_c,2-Methylprop-2-enoyl-CoA,C25H36N7O17P3S,c,-4.0
14glun_c, 1 4 alpha D Glucosyl n C6H12O6,C6H10O5,c,
2o3mpt_c, R  2 Oxo 3 methylpentanoate C6H9O3,C6H9O3,c,-1.0
15dap_c,"1,5-Diaminopentane",C5H16N2,c,2.0
2obut_c,2-Oxobutanoate,C4H5O3,c,-1.0
1ag3p_BS_c,1 Acyl sn glycerol 3 phsophate C1868H3636O700P100,C1868H3636O700P100,c,-200.0
5mcsn_c,5-Methylcytosine,C5H7N3O,c,
2p4c2me_c,2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol,C14H22N3O17P3,c,-4.0
1p3h5c_c,L 1 Pyrroline 3 hydroxy 5 carboxylate C5H6NO3,C5H6NO3,c,-1.0
2pcpgc_c,2 Protocatechoylphloroglucinolcarboxylate C14H7O8,C14H7O8,c,-3.0
1pyr5c_c,1-Pyrroline-5-carboxylate,C5H6NO2,c,-1.0
2pg_c,D-Glycerate 2-phosphate,C3H4O7P,c,-3.0
2pg_e,D-Glycerate 2-phosphate,C3H4O7P,e,-3.0
23camp_c,"2',3'-Cyclic AMP",C10H11N5O6P,c,-1.0
2pglyc_c,2-Phosphoglycolate,C2H2O6P,c,-3.0
23ccmp_c,"2',3'-Cyclic CMP",C9H11N3O7P,c,-1.0
2pglyc_e,2-Phosphoglycolate,C2H2O6P,e,-3.0
23cgmp_c,"2',3'-Cyclic GMP",C10H11N5O7P,c,-1.0
2shchc_c,"2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate",C11H10O6,c,-2.0
23cump_c,"2',3'-Cyclic UMP",C9H10N2O8P,c,-1.0
5mdr1p_c,5-Methylthio-5-deoxy-D-ribose 1-phosphate,C6H11O7PS,c,-2.0
34hpp_c,3-(4-Hydroxyphenyl)pyruvate,C9H7O4,c,-1.0
5mdru1p_c,5-Methylthio-5-deoxy-D-ribulose 1-phosphate,C6H11O7PS,c,-2.0
23ddhb_c,"2,3-Dihydro-2,3-dihydroxybenzoate",C7H7O4,c,-1.0
36dahx_c,"(3S)-3,6-Diaminohexanoate",C6H15N2O2,c,1.0
23dhb_c,"2,3-Dihydroxybenzoate",C7H5O4,c,-1.0
23dhba_c,"(2,3-Dihydroxybenzoyl)adenylate",C17H17N5O10P,c,-1.0
5mta_c,5-Methylthioadenosine,C11H15N5O3S,c,
5mthf_c,5-Methyltetrahydrofolate,C20H24N7O6,c,-1.0
3amba_c,3 aminobutanoic acid C4H9NO2,C4H9NO2,c,
5mtr_c,5-Methylthio-D-ribose,C6H12O4S,c,
23dhdp_c,"2,3-Dihydrodipicolinate",C7H5NO4,c,-2.0
3amba_e,3 aminobutanoic acid C4H9NO2,C4H9NO2,e,
23dhmb_c,"(R)-2,3-Dihydroxy-3-methylbutanoate",C5H9O4,c,-1.0
23dhmp_c,"(R)-2,3-Dihydroxy-3-methylpentanoate",C6H11O4,c,-1.0
5mtr_e,5-Methylthio-D-ribose,C6H12O4S,e,
3amp_c,3  AMP C10H12N5O7P,C10H12N5O7P,c,-2.0
25aics_c,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate,C13H15N4O12P,c,-4.0
3amp_e,3  AMP C10H12N5O7P,C10H12N5O7P,e,-2.0
25dhpp_c,2 5 Diamino 6 hydroxy 4  5  phosphoribosylamino  pyrimidine C9H14N5O8P,C9H14N5O8P,c,-2.0
6ampenc_c,6 Aminopenicillanate C8H13N2O3S,C8H13N2O3S,c,1.0
3c2hmp_c,3-Carboxy-2-hydroxy-4-methylpentanoate,C7H10O5,c,-2.0
25dop_c,2 5 Dioxopentanoate C5H5O4,C5H5O4,c,-1.0
3c3hmp_c,3-Carboxy-3-hydroxy-4-methylpentanoate,C7H10O5,c,-2.0
6pgc_c,6-Phospho-D-gluconate,C6H10O10P,c,-3.0
3c4mop_c,3-Carboxy-4-methyl-2-oxopentanoate,C7H8O5,c,-2.0
6pgc_e,6-Phospho-D-gluconate,C6H10O10P,e,-3.0
26dap_LL_c,"LL-2,6-Diaminoheptanedioate",C7H14N2O4,c,
26dap__M_c,"Meso-2,6-Diaminoheptanedioate",C7H14N2O4,c,
3cmp_c,3  CMP C9H12N3O8P,C9H12N3O8P,c,-2.0
3cmp_e,3  CMP C9H12N3O8P,C9H12N3O8P,e,-2.0
26dapime_c,N6 Acetyl LL 2 6 diaminopimelate C9H15N2O5,C9H15N2O5,c,-1.0
2ahbut_c,(S)-2-Aceto-2-hydroxybutanoate,C6H9O4,c,-1.0
3dhq_c,3-Dehydroquinate,C7H9O6,c,-1.0
2ahhmd_c,2 Amino 4 hydroxy 6 hydroxymethyl 7 8 dihydropteridine diphosphate C7H8N5O8P2,C7H8N5O8P2,c,-3.0
2ahhmp_c,2 Amino 4 hydroxy 6 hydroxymethyl 7 8 dihydropteridine C7H9N5O2,C7H9N5O2,c,
6pgg_c,"6-Phospho-beta-D-glucosyl-(1,4)-D-glucose",C12H21O14P,c,-2.0
6pgl_c,"6-phospho-D-glucono-1,5-lactone",C6H9O9P,c,-2.0
6pthp_c,"6-Pyruvoyl-5,6,7,8-tetrahydropterin",C9H11N5O3,c,
3dhsk_c,3-Dehydroshikimate,C7H7O5,c,-1.0
8aonn_c,8-Amino-7-oxononanoate,C9H17NO3,c,
3gmp_c,Guanosine 3  phosphate C10H12N5O8P,C10H12N5O8P,c,-2.0
ACP_c,Acyl carrier protein,HX,c,
DPA_c,Dipicolinate C7H3NO4,C7H3NO4,c,-2.0
3gmp_e,Guanosine 3  phosphate C10H12N5O8P,C10H12N5O8P,e,-2.0
L_alagly_c,L alanylglycine C5H10N2O3,C5H10N2O3,c,
ala_L_leu__L_c,Ala Leu C9H18N2O3,C9H18N2O3,c,
ala_L_leu__L_e,Ala Leu C9H18N2O3,C9H18N2O3,e,
3hbycoa_c, S  3 Hydroxybutyryl CoA C25H38N7O18P3S,C25H38N7O18P3S,c,-4.0
ala_L_met__L_c,Ala Met C8H16N2O3S,C8H16N2O3S,c,
L_alagly_e,L alanylglycine C5H10N2O3,C5H10N2O3,e,
3hdcoa_c,(S)-3-Hydroxydecanoyl-CoA,C31H50N7O18P3S,c,-4.0
L_sergly_c,L Serylglycine C5H10N2O4,C5H10N2O4,c,
ala_L_phe__L_c,Ala Phe C12H16N2O3,C12H16N2O3,c,
3hddcoa_c,(S)-3-Hydroxydodecanoyl-CoA,C33H54N7O18P3S,c,-4.0
L_thrgly_c,Thr Gly C6H12N2O4,C6H12N2O4,c,
3hhcoa_c,(S)-3-Hydroxyhexanoyl-CoA,C27H42N7O18P3S,c,-4.0
Larab_e,Alpha L Arabinan C15H24O12,C15H24O12,e,
3hhdcoa_c,(S)-3-Hydroxyhexadecanoyl-CoA,C37H62N7O18P3S,c,-4.0
3hmbcoa_c,(S)-3-Hydroxy-2-methylbutyryl-CoA,C26H40N7O18P3S,c,-4.0
3hmp_c,3-Hydroxy-2-methylpropanoate,C4H7O3,c,-1.0
ala_L_ser__L_c,Ala Ser C6H12N2O4,C6H12N2O4,c,
ala_L_trp__L_c,Ala Trp C14H17N3O3,C14H17N3O3,c,
3hocoa_c,(S)-3-Hydroxyoctanoyl-CoA,C29H46N7O18P3S,c,-4.0
ala_L_tyr__L_c,Ala Tyr C12H16N2O4,C12H16N2O4,c,
ala_L_val__L_c,Ala Val C8H16N2O3,C8H16N2O3,c,
