id,name,reaction,lower_bound,upper_bound,compartment,gene_reaction
EX_etha_e,Ethanolamine exchange,etha_e --> ,,999999.0,{'e'},
EX_drib_e,Deoxy D Ribose exchange,drib_e --> ,,999999.0,{'e'},
EX_csn_e,Cytosine exchange,csn_e --> ,,999999.0,{'e'},
EX_5mtr_e,5-Methylthio-D-ribose exchange,5mtr_e --> ,,999999.0,{'e'},
EX_dtmp_e,DTMP exchange,dtmp_e --> ,,999999.0,{'e'},
EX_6pgc_e,6 Phospho D gluconate exchange,6pgc_e --> ,,999999.0,{'e'},
EX_ctbt_e,Crotonobetaine exchange,ctbt_e --> ,,999999.0,{'e'},
EX_cu2_e,Cu2+ exchange,cu2_e --> ,,999999.0,{'e'},
EX_Larab_e,Alpha L Arabinan exchange,Larab_e --> ,,999999.0,{'e'},
EX_ectoine_e,Ectoine exchange,ectoine_e --> ,,999999.0,{'e'},
EX_cys__D_e,D-Cysteine exchange,cys__D_e --> ,,999999.0,{'e'},
EX_cys__L_e,L-Cysteine exchange,cys__L_e --> ,,999999.0,{'e'},
EX_eths_e,Ethanesulfonate exchange,eths_e --> ,,999999.0,{'e'},
EX_cyst__L_e,L Cystine exchange,cyst__L_e --> ,,999999.0,{'e'},
EX_Lcyst_e,L-Cysteate exchange,Lcyst_e --> ,,999999.0,{'e'},
EX_cytd_e,Cytidine exchange,cytd_e --> ,,999999.0,{'e'},
EX_abt__L_e,L Arabinitol exchange,abt__L_e --> ,,999999.0,{'e'},
EX_etoh_e,Ethanol exchange,etoh_e --> ,,999999.0,{'e'},
EX_dad_2_e,Deoxyadenosine exchange,dad_2_e --> ,,999999.0,{'e'},
EX_dcyt_e,Deoxycytidine exchange,dcyt_e --> ,,999999.0,{'e'},
EX_fe2_e,Fe2+ exchange,fe2_e --> ,,999999.0,{'e'},
EX_dextrin_e,Dextrin exchange,dextrin_e --> ,,999999.0,{'e'},
EX_dha_e,Dihydroxyacetone exchange,dha_e --> ,,999999.0,{'e'},
EX_ac_e,Acetate exchange,ac_e --> ,,999999.0,{'e'},
EX_acac_e,Acetoacetate exchange,acac_e --> ,,999999.0,{'e'},
EX_fe3_e,Fe3+ exchange,fe3_e <=> ,-999999.0,999999.0,{'e'},
EX_ferrich_e,Ferrichrome exchange,ferrich_e --> ,,999999.0,{'e'},
EX_diact_e,Diacetyl exchange,diact_e --> ,,999999.0,{'e'},
EX_djenk_e,Djenkolate exchange,djenk_e --> ,,999999.0,{'e'},
EX_ferxa_e,Ferroxamine exchange,ferxa_e --> ,,999999.0,{'e'},
EX_fol_e,EX fol LPAREN e RPAREN,fol_e --> ,,999999.0,{'e'},
EX_acgam_e,N-Acetyl-D-glucosamine exchange,acgam_e --> ,,999999.0,{'e'},
EX_acmana_e,N-Acetyl-D-mannosamine exchange,acmana_e --> ,,999999.0,{'e'},
EX_acnam_e,N-Acetylneuraminate exchange,acnam_e --> ,,999999.0,{'e'},
EX_for_e,Formate exchange,for_e --> ,,999999.0,{'e'},
EX_fru_e,D-Fructose exchange,fru_e --> ,,999999.0,{'e'},
EX_actn__R_e,EX actn R LPAREN e RPAREN,actn__R_e --> ,,999999.0,{'e'},
EX_ade_e,Adenine exchange,ade_e --> ,,999999.0,{'e'},
EX_adn_e,Adenosine exchange,adn_e --> ,,999999.0,{'e'},
EX_akg_e,2-Oxoglutarate exchange,akg_e --> ,,999999.0,{'e'},
EX_ala_B_e,Beta-Alanine exchange,ala_B_e --> ,,999999.0,{'e'},
EX_ala__D_e,D-Alanine exchange,ala__D_e --> ,,999999.0,{'e'},
EX_ala_L_Thr__L_e,Ala L Thr L exchange,ala_L_Thr__L_e --> ,,999999.0,{'e'},
EX_ala_L_asp__L_e,Ala L asp L exchange,ala_L_asp__L_e --> ,,999999.0,{'e'},
EX_ala__L_e,L-Alanine exchange,ala__L_e --> ,,999999.0,{'e'},
EX_ala_L_gln__L_e,Ala Gln exchange,ala_L_gln__L_e --> ,,999999.0,{'e'},
EX_ala_L_glu__L_e,Ala L glu L exchange,ala_L_glu__L_e --> ,,999999.0,{'e'},
EX_L_alagly_e,Ala L gly exchange,L_alagly_e --> ,,999999.0,{'e'},
EX_ala_L_his__L_e,Ala His exchange,ala_L_his__L_e --> ,,999999.0,{'e'},
EX_ala_L_leu__L_e,Ala Leu exchange,ala_L_leu__L_e --> ,,999999.0,{'e'},
EX_g6p_e,D-Glucose 6-phosphate exchange,g6p_e --> ,,999999.0,{'e'},
EX_gal_e,D-Galactose exchange,gal_e --> ,,999999.0,{'e'},
EX_galctr__D_e,D Galactarate exchange,galctr__D_e --> ,,999999.0,{'e'},
EX_galt_e,Galactitol exchange,galt_e --> ,,999999.0,{'e'},
EX_galur_e,D-Galacturonate exchange,galur_e --> ,,999999.0,{'e'},
EX_gam6p_e,D-Glucosamine 6-phosphate exchange,gam6p_e --> ,,999999.0,{'e'},
EX_gam_e,D-Glucosamine exchange,gam_e --> ,,999999.0,{'e'},
EX_gbbtn_e,Gamma-butyrobetaine exchange,gbbtn_e --> ,,999999.0,{'e'},
EX_glc__D_e,D-Glucose exchange,glc__D_e <=> ,-1.7,999999.0,{'e'},
EX_glcn__D_e,D Gluconate exchange,glcn__D_e --> ,,999999.0,{'e'},
EX_glcr_e,D-Glucarate exchange,glcr_e --> ,,999999.0,{'e'},
EX_glcur_e,D-Glucuronate exchange,glcur_e --> ,,999999.0,{'e'},
